close,RSI,MACD_diff
0.8483,,0.0
0.84817,,-8.296296296350648e-06
0.84845,,4.826506278234888e-06
0.84801,,-1.5273252459884643e-05
0.84803,,-2.575167024662264e-05
0.84799,,-3.3420688509774545e-05
0.84802,,-3.438339799217013e-05
0.848,,-3.420477270359769e-05
0.84807,,-2.749859538506084e-05
0.84767,,-4.698425094342653e-05
0.84774,,-5.176358105975566e-05
0.84761,,-5.972028400755001e-05
0.84728,,-8.1878817329859e-05
0.84717,22.705314009660228,-9.755069143665016e-05
0.84726,25.92592592592554,-9.534943715584841e-05
0.84737,31.30841121495203,-8.056737171743318e-05
0.84728,19.99999999999659,-7.125470129911311e-05
0.8473,26.79738562091252,-5.867598039392192e-05
0.84689,20.312500000000895,-7.201742066594455e-05
0.84688,20.63492063492008,-7.521452766564923e-05
0.84711,28.229665071772672,-5.639809702777496e-05
0.84708,28.09523809524103,-4.123444577984833e-05
0.84714,27.751196172249507,-2.3317618156051974e-05
0.84687,29.59183673469404,-2.5621066119321367e-05
0.84691,28.497409326426023,-2.0635569164506237e-05
0.84687,29.8913043478278,-1.6401231203095603e-05
0.84688,36.84210526315636,-9.631411224773705e-06
0.84693,41.7808219178077,9.47373098646653e-07
0.84689,36.8794326241133,7.613236128198168e-06
0.84691,32.57575757576102,1.5288828065880154e-05
0.8469,34.67741935483842,2.1245555062319977e-05
0.84716,45.27027027026977,4.299501565475759e-05
0.84707,57.75862068965229,5.106873637147213e-05
0.84718,61.90476190476358,6.279466727946998e-05
0.84715,51.88679245282653,6.711744542252433e-05
0.84716,53.84615384615138,6.897319598023804e-05
0.84709,47.61904761904863,6.392276296012729e-05
0.84721,68.88888888888204,6.678808313113682e-05
0.84724,68.53932584268752,6.856882593572023e-05
0.84722,70.11494252872743,6.622926176322289e-05
0.84722,69.76744186045852,6.255521621303362e-05
0.84715,62.49999999999527,5.3627530668638284e-05
0.8469,50.458715596328034,3.0265561906986566e-05
0.84693,50.9090909090865,1.68811016009342e-05
0.84699,53.91304347826129,1.2328040293686866e-05
0.84703,43.0107526881696,1.2244556409576413e-05
0.847,45.97701149425273,1.047174913937094e-05
0.84702,39.743589743588096,1.0900056141147795e-05
0.84686,34.06593406593474,1.1735034452781254e-06
0.84654,24.590163934423543,-2.4621537474734255e-05
0.84626,20.97902097901968,-5.652695282867304e-05
0.84618,12.949640287767778,-7.769732878301766e-05
0.84612,10.563380281689149,-8.957596271892519e-05
0.84605,10.204081632652134,-9.544203004892981e-05
0.84582,8.823529411764127,-0.00010722532268886978
0.84592,14.450867052022389,-0.0001007955005865524
0.84573,14.970059880238338,-0.00010156450208226883
0.84545,11.458333333333698,-0.0001123173781146171
0.84526,7.804878048777908,-0.0001227646859891466
0.84556,18.181818181817746,-0.00010092234369726973
0.84564,21.186440677964512,-7.379634951554357e-05
0.84588,27.906976744184746,-3.440163111010448e-05
0.84573,28.015564202334048,-1.419273089434082e-05
0.84566,31.03448275861986,-1.9307525616737075e-06
0.84611,46.98795180722924,3.789704168667674e-05
0.84608,47.95081967213137,6.21958628693629e-05
0.8459,45.70312500000006,6.577323369735474e-05
0.846,49.03474903474913,7.389430455899404e-05
0.84603,54.39330543932913,7.980190208675133e-05
0.84581,47.80876494023797,6.787615075533717e-05
0.84607,56.58914728682177,7.587574459437009e-05
0.84628,66.5338645418318,9.258098747973593e-05
0.84618,69.00826446280988,9.387255951344488e-05
0.84618,64.62264150943466,9.16032467597754e-05
0.84617,62.92682926829205,8.637404256455242e-05
0.84622,59.13978494623579,8.319595519553887e-05
0.84622,64.32748538011491,7.808956510630718e-05
0.84622,67.07317073170542,7.186425572106165e-05
0.84614,51.181102362203625,5.999476412219653e-05
0.8461,50.78124999999634,4.762579317024153e-05
0.84599,53.7190082644641,3.10163748489643e-05
0.84588,45.08196721311482,1.2549126829540432e-05
0.8463,58.385093167703914,2.7680270629176708e-05
0.84621,63.513513513513416,3.0466938468101064e-05
0.84589,44.1558441558463,1.0622743200638463e-05
0.84585,34.30656934306651,-4.521038634033682e-06
0.84613,48.387096774194006,4.507126459774167e-06
0.84588,41.66666666666616,-5.621106208897213e-06
0.84568,37.68844221105718,-2.402156435246984e-05
0.84535,30.83700440528979,-5.488385703478462e-05
0.8451,27.77777777778023,-8.670862928284102e-05
0.84476,24.475524475526925,-0.00012301432116528397
0.84522,35.80246913580352,-0.00010889085672868636
0.84559,42.85714285714331,-6.939515488475328e-05
0.84526,40.36939313984232,-6.058125520725581e-05
0.84516,40.4761904761918,-5.6644014294888144e-05
0.84467,28.831168831169293,-8.072955101678532e-05
0.84494,34.24317617866049,-7.243119475601418e-05
0.84468,34.760705289672515,-7.792853178057959e-05
0.84449,33.49514563106813,-8.713971124426365e-05
